,ERed
1861,1.15
1862,1.19
1863,1.57
1864,1.57
1865,1.79
1866,1.26
1867,1.26
1868,1.43
1869,1.08
1870,1.0
1871,1.17
1872,1.22
1873,1.23
1874,1.7
1875,1.53
1876,1.3
1877,1.23
1878,1.66
1879,1.46
1880,1.2
1881,1.14
1882,1.36
1883,1.18
1884,1.27
1885,1.08
1886,1.56
1887,1.23
1888,1.48
1889,1.53
1890,1.42
1891,1.31
1892,1.49
1893,1.19
1894,1.55
1895,1.2
1896,1.12
1897,1.69
1898,1.27
1899,1.44
1900,1.14
1901,1.39
1902,1.19
1903,1.66
1904,1.24
1905,1.19
1906,1.21
1907,1.39
1908,1.57
1909,1.34
1910,1.38
1911,1.46
1912,1.25
1913,1.56
1914,1.37
1915,1.31
1916,1.14
1917,1.46
1918,1.17
1919,1.52
1920,1.33
1921,1.49
1922,1.43
1923,1.01
1924,1.44
1925,1.61
1926,1.46
1927,1.42
1928,1.68
1929,1.59
1930,1.27
1931,1.16
1932,1.38
1933,1.27
1934,1.12
1935,1.55
1936,1.6
1937,1.47
1938,1.53
1939,1.16
1940,1.39
1941,1.44
1942,1.7
1943,1.46
1944,1.49
1945,1.24
1946,1.16
1947,1.25
1948,1.57
1949,1.27
1950,1.56
1951,1.56
1952,1.53
1953,1.4
1954,1.4
1955,1.29
1956,1.54
1957,1.31
1958,1.21
1959,1.32
1960,1.16
1961,1.52
1962,1.47
1963,1.32
1964,1.41
1965,1.57
1966,1.36
1967,1.48
1968,1.56
1969,1.36
1970,1.56
1971,1.3
1972,1.55
1973,1.43
1974,1.22
1975,1.42
1976,1.36
1977,1.44
1978,1.6
1979,1.37
1980,1.28
1981,1.32
1982,1.6
1983,1.07
1984,1.13
1985,1.36
1986,1.37
1987,1.21
1988,1.2
1989,1.37
1990,1.57
1991,1.27
1992,1.47
1993,1.22
1994,1.45
1995,1.12
1996,1.39
1997,1.45
1998,1.45
1999,1.2
2000,1.11
2001,1.27
2002,1.58
2003,1.21
2004,1.49
2005,1.66
2006,1.31
2007,1.41
2008,1.64
2009,1.13
2010,1.15
2011,1.09
2012,1.23
2013,1.09
2014,1.08
2015,1.33
2016,1.47
2017,1.57
2018,0.95
2019,1.33
2020,1.59
2021,1.29
2022,1.51
2023,1.74
2024,1.12
2025,1.49
2026,1.34
2027,1.36
2028,1.47
2029,1.19
2030,1.46
2031,1.12
2032,1.5
2033,1.0
2034,1.49
2035,1.69
2036,1.59
2037,1.5
2038,1.26
2039,1.42
2040,1.48
2041,1.06
2042,1.69
2043,1.4
2044,1.71
2045,1.18
2046,1.52
2047,1.66
2048,1.25
2049,1.37
2050,1.18
2051,1.22
2052,1.45
2053,1.31
2054,1.15
2055,1.48
2056,1.43
2057,1.41
2058,1.22
2059,1.37
2060,1.39
2061,1.27
2062,1.6
2063,1.07
2064,1.17
2065,1.68
2066,1.04
2067,1.43
2068,1.37
2069,1.41
2070,1.36
2071,1.31
2072,1.18
2073,1.19
2074,1.31
2075,1.32
2076,1.38
2077,1.28
2078,1.43
2079,1.32
2080,1.5
2081,1.42
2082,1.53
2083,1.51
2084,1.43
2085,1.52
2086,1.58
2087,1.1
2088,1.56
2089,1.33
2090,1.39
2091,1.57
2092,1.26
2093,1.42
2094,1.61
2095,1.43
2096,1.24
2097,1.06
2098,1.25
2099,1.22
2100,1.64
2101,1.02
2102,1.46
2103,1.49
2104,1.64
2105,0.96
2106,1.63
2107,1.59
2108,1.09
2109,1.72
2110,1.42
2111,1.41
2112,1.41
2113,1.15
2114,1.63
2115,1.27
2116,1.59
2117,1.26
2118,1.56
2119,1.42
2120,1.39
2121,1.39
2122,1.12
2123,1.04
2124,1.52
2125,1.13
2126,1.36
2127,1.16
2128,1.13
2129,1.58
2130,1.67
2131,1.29
2132,1.13
2133,1.11
2134,1.43
2135,1.01
2136,1.17
